[Log]OutLog Start
[Log]22:04:09.77-2: [Common/tools.lua:50]:-----------初始化BaseCtrl    Fight/FightView    table:0x15B11520
[Log]22:04:09.82-2: [Common/tools.lua:50]:----------显示ＵＩ,预设名字：    Fight/FightView    nil    table:0x15206E68
[Log]22:04:16.302-507: [Common/tools.lua:50]:-------------当前探索起点    4    5    1
[Log]22:04:16.305-507: [Common/tools.lua:50]:-------------当前探索起点    3    5    1
[Log]22:04:16.307-507: [Common/tools.lua:50]:-------------当前探索起点    3    6    1
[Log]22:04:16.310-507: [Common/tools.lua:50]:-------------当前探索起点    5    5    1
[Log]22:04:16.312-507: [Common/tools.lua:50]:-------------当前探索起点    5    6    1
[Log]22:04:16.316-507: [Common/tools.lua:50]:-------------当前探索起点    4    6    1
[Log]22:04:16.318-507: [Common/tools.lua:50]:-------------当前探索起点    1    3    1
[Log]22:04:16.788-542: [Common/tools.lua:50]:-------------当前探索起点    4    6    1
[Log]22:04:16.993-556: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:04:16.994-556: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]22:04:16.995-556: [Common/tools.lua:50]:-------------当前探索起点    2    6    1
[Log]22:04:16.997-556: [Common/tools.lua:50]:-------------当前探索起点    5    4    1
[Log]22:04:16.998-556: [Common/tools.lua:50]:-------------当前探索起点    6    6    1
[Log]22:04:16.999-556: [Common/tools.lua:50]:-------------当前探索起点    1    4    1
[Log]22:04:17.501-594: [Common/tools.lua:50]:-------------当前探索起点    4    5    1
[Log]22:04:17.717-611: [Common/tools.lua:50]:-------------当前探索起点    4    5    1
[Log]22:04:17.718-611: [Common/tools.lua:50]:-------------当前探索起点    5    5    1
[Log]22:04:17.720-611: [Common/tools.lua:50]:-------------当前探索起点    6    5    1
[Log]22:04:18.211-646: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:04:18.422-662: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:04:18.423-662: [Common/tools.lua:50]:-------------当前探索起点    5    4    1
[Log]22:04:18.424-662: [Common/tools.lua:50]:-------------当前探索起点    6    4    1
[Log]22:04:18.927-698: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]22:04:19.139-713: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]22:04:19.140-713: [Common/tools.lua:50]:-------------当前探索起点    5    5    1
[Log]22:04:19.141-713: [Common/tools.lua:50]:-------------当前探索起点    6    5    1
[Log]22:04:19.649-749: [Common/tools.lua:50]:-------------当前探索起点    3    3    1
[Log]22:04:19.849-764: [Common/tools.lua:50]:-------------当前探索起点    3    3    1
[Log]22:04:19.851-764: [Common/tools.lua:50]:-------------当前探索起点    5    4    1
[Log]22:04:19.852-764: [Common/tools.lua:50]:-------------当前探索起点    6    4    1
[Log]22:04:20.569-815: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:04:20.570-815: [Common/tools.lua:50]:-------------当前探索起点    6    5    1
[Log]22:04:21.290-872: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]22:04:21.291-872: [Common/tools.lua:50]:-------------当前探索起点    5    5    1
[Log]22:04:22.5-928: [Common/tools.lua:50]:-------------当前探索起点    3    5    1
[Log]22:04:22.6-928: [Common/tools.lua:50]:-------------当前探索起点    4    5    1
[Log]22:04:22.712-980: [Common/tools.lua:50]:-------------当前探索起点    3    6    1
[Log]22:04:22.713-980: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:04:23.435-36: [Common/tools.lua:50]:-------------当前探索起点    2    6    1
[Log]22:04:23.437-36: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]22:04:24.158-90: [Common/tools.lua:50]:-------------当前探索起点    1    6    1
[Log]22:04:24.159-90: [Common/tools.lua:50]:-------------当前探索起点    3    3    1
[Log]22:04:24.866-143: [Common/tools.lua:50]:-------------当前探索起点    3    2    1
[Log]22:04:25.591-195: [Common/tools.lua:50]:-------------当前探索起点    2    2    1
[Log]22:04:26.305-248: [Common/tools.lua:50]:-------------当前探索起点    1    2    1
[Log]OutLog Finish
